"agency_cd","site_no","Date","Daily.Mean.Discharge","Approval.Code"
"USGS","02085070","1963-09-01","   6.30","A"
"USGS","02085070","1963-09-02","   5.70","A"
"USGS","02085070","1963-09-03","   5.10","A"
"USGS","02085070","1963-09-04","   4.80","A"
"USGS","02085070","1963-09-05","   5.40","A"
"USGS","02085070","1963-09-06","   5.40","A"
"USGS","02085070","1963-09-07","   5.40","A"
"USGS","02085070","1963-09-08","   5.10","A"
"USGS","02085070","1963-09-09","   6.00","A"
"USGS","02085070","1963-09-10","   5.70","A"
"USGS","02085070","1963-09-11","   5.10","A"
"USGS","02085070","1963-09-12","   4.60","A"
"USGS","02085070","1963-09-13","   4.40","A"
"USGS","02085070","1963-09-14","  92.00","A"
"USGS","02085070","1963-09-15","  55.00","A"
"USGS","02085070","1963-09-16","  29.00","A"
"USGS","02085070","1963-09-17","  14.00","A"
"USGS","02085070","1963-09-18","   9.90","A"
"USGS","02085070","1963-09-19","   7.40","A"
"USGS","02085070","1963-09-20","   6.00","A"
"USGS","02085070","1963-09-21","   5.10","A"
"USGS","02085070","1963-09-22","   4.60","A"
"USGS","02085070","1963-09-23","   4.10","A"
"USGS","02085070","1963-09-24","   3.70","A"
"USGS","02085070","1963-09-25","   3.50","A"
"USGS","02085070","1963-09-26","   3.30","A"
"USGS","02085070","1963-09-27","   2.90","A"
"USGS","02085070","1963-09-28","   3.10","A"
"USGS","02085070","1963-09-29","  34.00","A"
"USGS","02085070","1963-09-30","  92.00","A"
"USGS","02085070","1963-10-01","  27.00","A"
"USGS","02085070","1963-10-02","  14.00","A"
"USGS","02085070","1963-10-03","   8.60","A"
"USGS","02085070","1963-10-04","   6.70","A"
"USGS","02085070","1963-10-05","   5.10","A"
"USGS","02085070","1963-10-06","   4.60","A"
"USGS","02085070","1963-10-07","   4.10","A"
"USGS","02085070","1963-10-08","   3.70","A"
"USGS","02085070","1963-10-09","   3.70","A"
"USGS","02085070","1963-10-10","   3.50","A"
"USGS","02085070","1963-10-11","   3.30","A"
"USGS","02085070","1963-10-12","   2.90","A"
"USGS","02085070","1963-10-13","   2.70","A"
"USGS","02085070","1963-10-14","   2.90","A"
"USGS","02085070","1963-10-15","   2.90","A"
"USGS","02085070","1963-10-16","   2.80","A"
"USGS","02085070","1963-10-17","   2.80","A"
"USGS","02085070","1963-10-18","   2.90","A"
"USGS","02085070","1963-10-19","   2.90","A"
"USGS","02085070","1963-10-20","   2.80","A"
"USGS","02085070","1963-10-21","   2.40","A"
"USGS","02085070","1963-10-22","   1.80","A"
"USGS","02085070","1963-10-23","   2.00","A"
"USGS","02085070","1963-10-24","   2.00","A"
"USGS","02085070","1963-10-25","   2.40","A"
"USGS","02085070","1963-10-26","   2.80","A"
"USGS","02085070","1963-10-27","   4.00","A"
"USGS","02085070","1963-10-28","   4.00","A"
"USGS","02085070","1963-10-29","   5.40","A"
